# role	lemma
given	агнетта
given	агнеш
given	агнеша
given	агнешка
given	агнея
given	агнисия
given	агния
given	аго
given	агоп
given	агоси
given	агостино
given	агота
given	агофон
given	агофья
given	аградина
given	агран
given	аграпина
given	аграппина
given	аграфена
given	аграфения
given	аграфина
given	аграфинья
given	аграфья
given	агренина
given	агрепена
given	агрепина
given	агреппина
given	агрес
given	агретина
given	агрефена
given	агрефина
given	агринина
given	агрипена
given	агрипина
given	агрипинна
given	агриппина
given	агрис
given	агрифена
given	агрифина
given	агропина
given	агрофена
given	агрофина
given	агубе
given	агубекир
given	агудас
given	агун
given	агунда
given	агуник
given	агурий
given	агустина
given	агфия
given	агха
given	агшин
given	ада
given	адаида
given	адаил
given	адаиль
given	адай
given	адалаида
given	адалар
given	адалат
given	адалет
given	адалий
given	адалина
given	адалия
given	адаль
given	адальберт
given	адальфина
given	адаля
given	адалят
given	адам
given	адамбай
given	адамур
given	адан
given	аданис
given	адапет
given	адар
given	адарья
given	адас
given	адась
given	адбуллах
given	адвард
given	адварт
given	адгам
given	адган
given	адгар
given	адгезал
given	адгем
given	адди
given	адеалина
given	адеина
given	адейля
given	адексей
given	адел
given	адела
given	аделаида
given	аделаина
given	аделайда
given	аделанда
given	адели
given	аделиада
given	аделида
given	аделий
given	аделин
given	аделина
given	аделия
given	аделка
given	аделла
given	аделоида
given	адель
given	адельвина
given	адельгейда
given	адельжан
given	адельзян
given	адельмина
given	адельмурзин
given	адельфина
given	адельхан
given	адельша
given	адельшан
given	аделья
given	адем
given	адемей
given	адемия
given	адена
given	адерми
given	адерша
given	адес
given	адехам
given	адеш
given	адея
given	аджай
given	аджам
given	аджар
given	аджат
given	аджей
given	аджер
given	аджи
given	аджимир
given	аджимурат
given	аджире
given	аджит
given	аджихалил
given	аджмал
given	ади
given	адиалида
given	адиан
given	адиб
given	адиба
given	адибек
given	адибя
given	адигам
given	адигар
given	адигезал
given	адигозал
given	адие
given	адиз
given	адий
given	адик
given	адил
given	адил-оглы
given	адила
given	адилага
given	адилаида
given	адилбек
given	адилджан
given	адиле
given	адилжан
given	адилжон
given	адилина
given	адилия
given	адилкан
given	адилхан
given	адилшах
given	адиль
given	адиль-гирей
given	адильбек
given	адильгирей
given	адильжан
given	адильхан
given	адилья
given	адилэ
given	адим
given	адимир
given	адин
given	адина
given	адине
given	адинжан
given	адиня
given	адип
given	адипхан
given	адир
given	адис
given	адиса
given	адисей
given	адислав
given	адит
given	адиф
given	адиширин
given	адия
given	адиятулла
given	адл
given	адлан
given	адли
given	адлифа
given	адлифе
given	адлифя
given	адлы
given	адман
given	адмила
given	адмия
given	аднан
given	адолаида
given	адолат
given	адолет
given	адолий
given	адолик
given	адолина
given	адолф
given	адоль
given	адольф
given	адольфас
given	адольфина
given	адоля
given	адолят
given	адомас
given	адон
given	адрей
given	адри
given	адриада
given	адриан
given	адриана
given	адрианна
given	адриано
given	адрианус
given	адриен
given	адрина
given	адрине
given	адринэ
given	адриян
given	адрияна
given	аду
given	адула
given	адулкадер
given	адурахман
given	адхам
given	адхамжан
given	адхамжон
